1	419581.6	4639275
2	411227	4645860
3	415602.6	4646699
4	409870.7	4655612
5	418338.8	4641773
6	412137.6	4645632
7	417916.4	4643946
8	400126.5	4655124
9	420801.6	4632650
10	412999	4648447
12	400481.6	4659233
14	417250.8	4645187
17	418788.6	4639600
18	411052	4644941
19	415202.8	4648883
20	410014.6	4656317
21	419074.3	4641448
23	413154	4652579
24	399469.1	4655617
25	419987.8	4630200
26	413670.2	4647258
28	401449.6	4659056
29	411386.5	4640204
30	416968.6	4644235
31	408187.1	4657092
32	403377.1	4658513
33	419417.8	4638355
34	412420.8	4646585
35	416051.7	4648548
37	419006.8	4640534
39	412332.2	4652897
41	420236.8	4633997
43	415391.1	4649787
44	399912.3	4657447
45	410920.3	4644078
46	416685.4	4643282
47	409111.2	4656717
49	419134.7	4637403
50	411854.4	4644680
51	416568.8	4646419
52	398716.6	4656791
53	418952.6	4636528
54	412704	4647537
55	414001.3	4652224
56	398334.1	4658824
57	419817.8	4636171
58	417322.5	4646058
59	402132.8	4653160
60	401161.7	4658120
61	411571.8	4643728
62	415885.8	4647651
63	407964.2	4656291
64	405338.5	4657985
65	418536.7	4642691
67	417651.7	4643003
69	419713.3	4632101
70	413953.4	4648210
72	398948.5	4657728
77	411282.2	4642485
78	414919.6	4647931
